
Year,"1961","1971","1981","1990","2000","2010","2011","2012","2013","2014","2015","2016","2017"
"Specification",
"Total population",314900,339800,364850,379300,433600,502066,511840,524853,537039,549680,562958,576249,590667
"   Luxembourgers",273400,277350,270500,270400,276600,285721,290476,294983,298195,300766,304279,307074,309170
"   Foreigners",41500,62450,94350,108900,157000,216345,221364,229870,238844,248914,258679,269175,281497
"Proportion of foreigners (in %)",13.2,18.4,25.9,28.7107830213551,36.6,43.1,43.2,43.797025071782,44.5,45.3,45.9,46.7,47.6574787486012




